note_id,project_id,project_name,note_type,note_title,created_at,note_text,effort_hours
117,HI-DDD-0001,SMART INTAKE DM,general,,30/03/2026 19:17,Definición del proyecto,2
133,HI-DDD-0001,SMART INTAKE DM,general,,22/04/2026 22:22,Carlos avanzó parcialmente en la definición de reglas (master file e itemización). Falta adaptar completamente el flujo del agente a la taxonomÃ­a final.,6
240,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-05,05/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
244,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-11,11/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
248,HI-DDD-0001,SMART INTAKE DM,general,Seguimiento 2026-05-18,18/05/2026 16:05,No se registraron avances ni cambios en este frente.,0
150,LA-COPILOT-0001,Implementación de Copilot,general,,11/02/2026 00:00,"Inicio formal del proyecto Copilot en LATAM. Se validó alcance, objetivos, metodologÃ­a y rol de Champions, dejando lineamientos claros de gobernanza.",0.5
154,LA-COPILOT-0001,Implementación de Copilot,general,,16/02/2026 09:00,"Se revisa inclusión del equipo NOLA en el proyecto. Se confirma participación en entrenamientos, pero no se garantiza licencia para todos por cupo limitado.",0.5
158,LA-COPILOT-0001,Implementación de Copilot,general,,16/02/2026 15:00,Se confirma inclusión al grupo Teams y acceso al calendario de cursos. Se habilita participación activa en entrenamientos del proyecto.,0.5
162,LA-COPILOT-0001,Implementación de Copilot,general,,17/02/2026 00:00,Se aclara que licencias ya fueron definidas fuera del alcance del PM. Las nuevas solicitudes deben gestionarse vÃ­a jefaturas.,0.5
166,LA-COPILOT-0001,Implementación de Copilot,general,,07/03/2026 00:00,Creación de Copilot para generar business case y aterrizar ideas del equipo.,1
169,LA-COPILOT-0001,Implementación de Copilot,general,,20/03/2026 00:00,Creación de business case con ideas que se podrÃ­an desarrollar.,1
171,LA-COPILOT-0001,Implementación de Copilot,general,,10/04/2026 00:00,"Se presentan avances: +30 agentes y feedback del leadership. Se redefine foco hacia adopción, métricas de impacto y control de scope.",0.5
193,LA-COPILOT-0001,Implementación de Copilot,general,,30/04/2026 16:42,Gonzalo presentó el plan de implementación para la gobernanza de IA que creó en conjunto con Xiomara. Las licencias nuevas se darán en Junio,0.5
300,LA-COPILOT-0001,Implementación de Copilot,general,Seguimiento 2026-05-08,08/05/2026 16:05,Se presentaron los principales agentes al board recibiendo feedback y mejoras a implementar.,0.5
304,LA-COPILOT-0001,Implementación de Copilot,general,Seguimiento 2026-05-16,16/05/2026 16:05,PPT de casos de uso actualizado. Se identifico la necesidad de estructurar repositorios en SharePoint para que la IA pueda leer y usar la informacion eficientemente.,1
17,LA-DDD-0001,Client Title PPT,general,/start,20/11/2025 13:37,"comienzo del proyecto.Definición del objetivo del agente, alcance y enfoque de valor (pensar el deck como director de negocio).",1
25,LA-DDD-0001,Client Title PPT,general,,05/12/2025 21:39,"DiseÃ±o de los primeros prompts y reglas del agente. Definición de la estructura de tÃ­tulos estratégicos, descriptivos y storytelling.",1
29,LA-DDD-0001,Client Title PPT,general,,15/01/2026 21:40,"Uso del agente en decks reales para validar claridad, utilidad y ahorro de tiempo.",0.5
33,LA-DDD-0001,Client Title PPT,general,,05/02/2026 21:40,"Ajuste de tono ejecutivo, consistencia de mensajes y mejora de outputs",0.5
37,LA-DDD-0001,Client Title PPT,general,,05/03/2026 21:40,Piloto a mayor escala con el equipo comercial de CAM y equipos seleccionados de Colombia.,1
113,LA-DDD-0001,Client Title PPT,general,,25/03/2026 22:31,Se le solicitó a Olga Tercero apoyo para tener feedback de parte del equipo comercial de CAM,0.5
142,LA-DDD-0001,Client Title PPT,general,,22/04/2026 23:25,Se entregó el copiloto en el kick off de MX,1
186,LA-DDD-0001,Client Title PPT,general,,30/04/2026 16:28,Se envió a los CM el agente para que lo repartieran a sus equipos,0.5
204,LA-DDD-0001,Client Title PPT,general,,19/05/2026 19:27,Se presentó el agente a Chile y Argentina para que realicen sus pruebas,2
45,LA-DDD-0002,Automatización Presentaciónes Python,general,,30/01/2026 20:58,Kick-off y Definición,1
49,LA-DDD-0002,Automatización Presentaciónes Python,general,,07/02/2026 20:59,DiseÃ±o del Framework Base,4
53,LA-DDD-0002,Automatización Presentaciónes Python,general,,17/02/2026 21:01,Implementación Parte 1 (Presentaciones Fijas) - coppel,35
57,LA-DDD-0002,Automatización Presentaciónes Python,general,,23/02/2026 21:01,Se termina la primera parte con la semi automatizacion de coppel,35
81,LA-DDD-0002,Automatización Presentaciónes Python,general,,12/03/2026 21:27,Se agrega la funcionalidad de insertar texto y tablas,35
183,LA-DDD-0002,Automatización Presentaciónes Python,general,,30/04/2026 16:27,Se esta configurando la presentación de Coppel con el texto a incluir en las diapositivas,30
288,LA-DDD-0002,Automatización Presentaciónes Python,general,Seguimiento 2026-05-05,05/05/2026 16:05,Se avanza con la creacion del template de Coppel.,30
292,LA-DDD-0002,Automatización Presentaciónes Python,general,Seguimiento 2026-05-11,11/05/2026 16:05,Se avanza con la creacion del template de Coppel.,30
296,LA-DDD-0002,Automatización Presentaciónes Python,general,Seguimiento 2026-05-19,19/05/2026 16:05,Se termino de hacer la configuracion y se genero la PPT de Q4 para comparar versus entregado.,30
1,MX-DDD-0001,Actualizacion Macro RCD colgate,general,/start,20/02/2026 16:19,"Alinear a todos los stakeholders sobre el objetivo, alcance y reporte esperado del proyecto.",2
9,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,25/02/2026 16:19,"Evaluar la salud, complejidad y riesgo del VBA existente para dimensionar impacto del cambio.",3
13,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,02/03/2026 16:19,"Decisión: Implementación principal en Python. 
Estado de la vÃ­a alterna: Habilitada (generación de archivo en formato legado para Macro VBA). 
Motivación breve: mantenibilidad, escalabilidad, compatibilidad con nuevos insumos (MyWorldpanel), tiempos de ciclo, y control de calidad. 
Fecha de decisión: (mar, 24 feb). 
Enlace al ADR (ver #5).",0
5,MX-DDD-0001,Actualizacion Macro RCD colgate,general,/start,03/03/2026 16:19,"Comprender la estructura, contenido y variabilidad del nuevo input MYWorldpanel antes de cualquier implementación.",3
61,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,09/03/2026 21:04,ya se programó la parte importante de los reportes y ya lee outputs de MWP. Esta en proceso de revisión por parte de DD,8
89,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,13/03/2026 15:37,en etapa de evaluación eficiencia comparando los datos de la macro de VBA con la del programa,4
97,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,24/03/2026 22:46,Carlos corrigió errores encontrados y está ajustando la lógica y los datos para asegurar consistencia.,6
129,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,31/03/2026 20:31,"Carlos terminó los ajustes principales (cálculos, formateos, conversion tree) y solo falta validación del scorecard",6
146,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,22/04/2026 23:28,La macro está prácticamente cerrada. Carlos ya corrió nuevamente la comparación y todo coincide excepto el scorecard (el cuál se ajusto para que sea flexible a los datos cambiantes por categoria. Antes era fijo y estaba mal) . Se está a la espera del feedback final del usuario,5
179,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,28/04/2026 23:57,"Carlos implementó un parche para variaciones de formato (cuando no viene la palabra âtotalâ) y aplicó ajustes de look & feel, dejando el código listo para pruebas.",4
190,MX-DDD-0001,Actualizacion Macro RCD colgate,general,,30/04/2026 16:36,Carlos hizo ajustes con el feedback de Suelen y se volvió a compartir el programa,3
228,MX-DDD-0001,Actualizacion Macro RCD colgate,general,Seguimiento 2026-05-05,05/05/2026 16:05,Se probaron los archivos reportados con errores y el codigo funciona correctamente con los ultimos cambios aplicados.,3
232,MX-DDD-0001,Actualizacion Macro RCD colgate,general,Seguimiento 2026-05-11,11/05/2026 16:05,Se indico que el desarrollo pasara a etapa de pruebas por parte de D&D para su entrega final.,2
236,MX-DDD-0001,Actualizacion Macro RCD colgate,general,Seguimiento 2026-05-19,19/05/2026 16:05,Programa final entregado a D&D para sus pruebas.,2
65,MX-DDD-0003,Automatización Rotaciones MX,general,,20/02/2026 22:55,Idea y Exploración de lo que se requiere,3
69,MX-DDD-0003,Automatización Rotaciones MX,general,,02/03/2026 22:55,Analizar estructura WPO y brechas vs Rotaciones,5
73,MX-DDD-0003,Automatización Rotaciones MX,general,,06/03/2026 22:55,Definir reglas de negocio y diseÃ±o técnico,6
77,MX-DDD-0003,Automatización Rotaciones MX,general,,09/03/2026 22:56,Desarrollo: Implementar transformación WPO â Rotaciones,10
85,MX-DDD-0003,Automatización Rotaciones MX,general,,13/03/2026 15:34,Estamos ne etapas de prueba de producto,4
93,MX-DDD-0003,Automatización Rotaciones MX,general,,24/03/2026 16:15,Se presentó al cliente y pidi0 cambios menores que deberÃ­an quedar esta semana,3
125,MX-DDD-0003,Automatización Rotaciones MX,general,,31/03/2026 20:26,El desarrollo está terminado y Luis solo debe enviar la versión final al cliente para prueba,2
141,MX-DDD-0003,Automatización Rotaciones MX,general,,22/04/2026 22:46,"Realizar la sesión de entrega con el cliente. 
Presentar solución e instrucciones de uso. 
Confirmar cierre. /end",1
101,MX-DDD-0004,Actualización VBA Walmart Frescos,general,,04/03/2026 22:05,"Se realizó la reunión de kickoff el 3 de marzo de 2026 para definir el alcance del ajuste a la macro existente.  Limitar el proyecto a la incorporación de la categorÃ­a Pan de temporada, sin refactorizar la macro base.",2
105,MX-DDD-0004,Actualización VBA Walmart Frescos,general,,16/03/2026 22:07,"Durante la fase de desarrollo se realizaron ajustes sobre la macro existente para incorporar Pan de temporada, agregando dos slides nuevos y modificando un slide actual. Se decidió reutilizar la estructura existente de Excel y PowerPoint para minimizar riesgos. El desarrollo quedó completado segÃºn lo planeado.",8
109,MX-DDD-0004,Actualización VBA Walmart Frescos,general,,25/03/2026 22:07,"Se iniciaron las pruebas funcionales de la macro, validando la ejecución completa y los resultados visuales. Durante esta fase se detectaron inconsistencias en tÃ­tulos y etiquetas de series en algunos slides. Los hallazgos fueron documentados como bugs.",4
121,MX-DDD-0004,Actualización VBA Walmart Frescos,general,,31/03/2026 20:24,El proyecto fue entregado completamente y se está a la espera de feedback del cliente,2
137,MX-DDD-0004,Actualización VBA Walmart Frescos,general,,22/04/2026 22:37,Luis realizó correcciones a errores preexistentes y ajustes solicitados. Se modificó la macro y la PPT para que los rangos sean dinámicos. El programa ya fue probado y ejecuta correctamente.,5
175,MX-DDD-0004,Actualización VBA Walmart Frescos,general,,28/04/2026 23:56,Llegó feedback nuevamente con errores y aÃºn no se ha revisado la causa de fondo.,3
252,MX-DDD-0004,Actualización VBA Walmart Frescos,general,Seguimiento 2026-05-05,05/05/2026 16:05,No se ha avanzado en revision de errores debido a prioridad en otros desarrollos.,0
256,MX-DDD-0004,Actualización VBA Walmart Frescos,general,Seguimiento 2026-05-11,11/05/2026 16:05,No se realizaron avances ni ejecuciones relacionadas con Walmart.,0
260,MX-DDD-0004,Actualización VBA Walmart Frescos,general,Seguimiento 2026-05-18,18/05/2026 16:05,No se ha avanzado aun porque se priorizo cerrar Order Forms y hay dudas pendientes sobre definiciones funcionales.,0
196,MX-DDD-0005,Automatización Order Forms MWP,general,,30/04/2026 17:20,"Se acordó avanzar con la automatización del armado de Order Forms para eliminar trabajo manual, con script que ya genera listados por cliente/categorÃ­a y completa información parcial desde Package Master.",3
264,MX-DDD-0005,Automatización Order Forms MWP,general,Seguimiento 2026-05-05,05/05/2026 16:05,Se avanzo significativamente y es la prioridad actual del equipo. Se identifico que la conexion a SharePoint requiere credenciales especificas; por el momento se decide hacer el programa local.,8
268,MX-DDD-0005,Automatización Order Forms MWP,general,Seguimiento 2026-05-11,11/05/2026 16:05,"El codigo esta refactorizado y se estan ajustando filtros, estructura de repositorio y descargas automaticas pendientes.",6
272,MX-DDD-0005,Automatización Order Forms MWP,general,Seguimiento 2026-05-18,18/05/2026 16:05,Se estan realizando ajustes para manejar filas incompletas y recuperar columnas necesarias para reportes.,5
200,MX-DDD-0006,Usage OFW Nestlé,general,,30/04/2026 19:01,"Se acordó avanzar con el rediseÃ±o y automatización del reporte Usage OFW Nestlé en Power BI, validando un flujo de análisis claro y sin agregar nuevas métricas.",3
276,MX-DDD-0006,Usage OFW Nestlé,general,Seguimiento 2026-05-01,01/05/2026 16:05,Se genero un boceto con los comentarios de la reunion anterior.,4
280,MX-DDD-0006,Usage OFW Nestlé,general,Seguimiento 2026-05-05,05/05/2026 16:05,Prototipos revisados con Advance y cambios de graficos quedaron del lado de ellos.,3
284,MX-DDD-0006,Usage OFW Nestlé,general,Seguimiento 2026-05-18,18/05/2026 16:05,Se compartio un boceto en Power BI con el area comercial y se espera feedback.,4
